objectid,year,agency,unit_id,fire_name,alarm_date,cont_date,gis_acres,shape__area,shape__length,duration_days,intensity,rescaled_intensity,geometry,Region,fire_season,normalized_intensity
695,2021.0,LRA,LNU,KIWI,2021-06-07 00:00:00+00:00,2021-06-07 00:00:00+00:00,1.75886,11575.7265625,489.909988820809,1,3.664212870834149,6.0,POINT (-122.7 38.5),1,Fire Season,0.045867660061695646
701,2021.0,CDF,SHU,LITTLE,2021-07-03 00:00:00+00:00,2021-07-04 00:00:00+00:00,15.33097,107866.765625,1828.98430057905,2,14.359556527574274,19.0,POINT (-122.5 40.7),2,Fire Season,0.19656911243181344
702,2021.0,CDF,SHU,WOODMAN,2021-04-01 00:00:00+00:00,2021-04-01 00:00:00+00:00,24.85209,175050.3046875,2716.04835943698,1,11.743445505687014,16.0,POINT (-122.5 40.7),2,Off Season,0.15970711498571655
747,2021.0,CDF,SHU,MALLARD,2021-06-11 00:00:00+00:00,2021-06-11 00:00:00+00:00,4.217206,29556.3125,788.774159410896,1,5.96475736158271,9.0,POINT (-122.5 40.7),2,Fire Season,0.07828320528631276
1060,2020.0,CDF,SHU,BAR,2020-04-25 00:00:00+00:00,2020-04-26 00:00:00+00:00,57.78563,406463.23046875,6053.00295155153,2,18.984278388447645,25.0,POINT (-122.5 40.7),2,Off Season,0.2617331991231501
1061,2020.0,CDF,SHU,LEOPARD,2020-05-31 00:00:00+00:00,2020-05-31 00:00:00+00:00,16.629,116484.6875,2867.55387802411,1,10.36109861747855,14.0,POINT (-122.5 40.7),2,Fire Season,0.14022932255395626
1062,2020.0,CCO,SBC,DRUM,2020-06-14 00:00:00+00:00,2020-06-17 00:00:00+00:00,695.4706,4167186.67578125,18011.6201144937,4,32.18503080690006,42.0,POINT (-119.7 34.4),3,Fire Season,0.44773681206787636
1063,2020.0,CCO,SBC,TWITCHELL,2020-06-06 00:00:00+00:00,2020-06-06 00:00:00+00:00,28.68455,173213.078125,3330.0078902437,1,12.242573075253134,16.0,POINT (-119.7 34.4),3,Fire Season,0.1667400119234581
1064,2020.0,CCO,SBC,BALLARD,2020-10-31 00:00:00+00:00,2020-10-31 00:00:00+00:00,17.29714,103688.5078125,2112.36366216319,1,10.495415225002,14.0,POINT (-119.7 34.4),3,Fire Season,0.14212189454424054
1065,2020.0,CCO,SBC,GAREY,2020-11-29 00:00:00+00:00,2020-12-01 00:00:00+00:00,12.15279,73228.81640625,2428.6889848412,3,16.078580348777166,21.0,POINT (-119.7 34.4),3,Off Season,0.22079081066129
1066,2020.0,CDF,SHU,PLATINA,2020-07-19 00:00:00+00:00,2020-07-21 00:00:00+00:00,339.4666,2374022.140625,9206.19273342466,3,27.82668972883016,36.0,POINT (-122.5 40.7),2,Fire Season,0.38632613173171315
1067,2020.0,CDF,SHU,ROSA,2020-02-26 00:00:00+00:00,2020-02-26 00:00:00+00:00,13.27444,93994.4921875,1973.21933085008,1,9.598968708064838,13.0,POINT (-122.5 40.7),2,Off Season,0.1294906228048395
1068,2020.0,CDF,SHU,SPRINGS,2020-08-09 00:00:00+00:00,2020-08-09 00:00:00+00:00,10.29982,72441.71875,1425.5013959596,1,8.755204302739925,12.0,POINT (-122.5 40.7),2,Fire Season,0.11760166201763374
1069,2020.0,CDF,SHU,PINES,2020-08-13 00:00:00+00:00,2020-08-13 00:00:00+00:00,15.73703,109947.4375,1828.76756766527,1,10.17362456993196,14.0,POINT (-122.5 40.7),2,Fire Season,0.1375877420537195
1071,2020.0,CCO,SBC,HOLLISTER,2020-05-07 00:00:00+00:00,2020-05-10 00:00:00+00:00,157.0178,937233.71875,5267.79834483534,4,26.82919859603273,35.0,POINT (-119.7 34.4),3,Fire Season,0.3722711029955253
1072,2020.0,CCO,SBC,KIRSCHEMANN,2020-05-28 00:00:00+00:00,2020-05-28 00:00:00+00:00,28.75139,173394.84765625,1724.02976094512,1,12.25069408834536,16.0,POINT (-119.7 34.4),3,Fire Season,0.16685444008088754
1073,2020.0,CCO,SBC,VIEW,2020-06-06 00:00:00+00:00,2020-06-07 00:00:00+00:00,77.05924,461807.9296875,3887.79850999818,2,20.00816982447489,26.0,POINT (-119.7 34.4),3,Fire Season,0.27616021815412733
1074,2020.0,CCO,SBC,GATO,2020-07-31 00:00:00+00:00,2020-07-31 00:00:00+00:00,10.23549,61602.984375,1351.12687393326,1,8.734589750014198,12.0,POINT (-119.7 34.4),3,Fire Season,0.11731119514387699
1075,2020.0,CCO,SBC,LITO,2020-09-07 00:00:00+00:00,2020-09-07 00:00:00+00:00,25.82244,154580.9140625,1976.45196414771,1,11.876490824016738,16.0,POINT (-119.7 34.4),3,Fire Season,0.16158177402864488
1076,2020.0,CCO,SBC,DUTARD,2020-11-23 00:00:00+00:00,2020-11-23 00:00:00+00:00,13.63339,82188.75,1360.38213832814,1,9.688642081806568,13.0,POINT (-119.7 34.4),3,Off Season,0.13075415468333978
1077,2020.0,CCO,SBC,CLARK,2020-12-16 00:00:00+00:00,2020-12-16 00:00:00+00:00,18.82918,113445.00390625,2217.94200818258,1,10.785751868961013,15.0,POINT (-119.7 34.4),3,Off Season,0.14621284807739937
1098,2020.0,CDF,SHU,ZOGG,2020-09-27 00:00:00+00:00,2020-10-13 00:00:00+00:00,56338.05,393993433.347656,190609.169916148,17,56.97040285395643,73.0,POINT (-122.5 40.7),2,Fire Season,0.796972113419902
1099,2020.0,CDF,SHU,POINT,2020-10-25 00:00:00+00:00,2020-10-27 00:00:00+00:00,276.6583,1931390.74609375,9622.19599073764,3,27.09037257269372,35.0,POINT (-122.5 40.7),2,Fire Season,0.37595114347550435
1105,2020.0,CDF,SHU,INWOOD,2020-07-31 00:00:00+00:00,2020-07-31 00:00:00+00:00,10.81982,75886.625,1545.97998252535,1,8.917653753541739,12.0,POINT (-122.5 40.7),2,Fire Season,0.11989063644971132
1106,2020.0,CDF,SHU,DERSCH,2020-10-25 00:00:00+00:00,2021-01-25 00:00:00+00:00,133.2995,933421.05078125,9483.09342367987,93,45.645113113719695,59.0,POINT (-122.5 40.7),2,Fire Season,0.6373944815884558
1109,2020.0,CDF,SHU,RIDGE,2020-09-14 00:00:00+00:00,2021-01-14 00:00:00+00:00,17.10545,119773.07421875,2050.81824293329,123,40.13394521288775,52.0,POINT (-122.5 40.7),2,Fire Season,0.5597400336748026
