objectid,year,agency,unit_id,fire_name,alarm_date,cont_date,gis_acres,complex_name,shape__area,shape__length,duration_days,intensity,rescaled_intensity
133,2023.0,CDF,SLU,BOULDER,2023-06-28 00:00:00+00:00,2023-06-28 00:00:00+00:00,70.79186,,431352.00390625,3756.05651986448,0 days,15.431352221142102,20.0
134,2023.0,LRA,SLU,JARDINE,2023-07-16 00:00:00+00:00,2023-07-16 00:00:00+00:00,2.151939,,13226.49609375,629.646022269677,0 days,4.145160540979541,6.0
135,2023.0,CDF,SLU,FRANKLIN,2023-12-16 00:00:00+00:00,2023-12-16 00:00:00+00:00,1.008626,,6185.5,321.137146668691,0 days,2.518293643092439,4.0
136,2023.0,LRA,SLU,OAK,2023-07-25 00:00:00+00:00,2023-07-25 00:00:00+00:00,0.1144218,,703.0,158.40083660076,0 days,0.3911689206527854,1.0
137,2023.0,CDF,SLU,SHELL,2023-07-30 00:00:00+00:00,2023-08-03 00:00:00+00:00,114.7964,,701703.50390625,4835.69047899195,4 days,27.082839438941452,35.0
138,2023.0,CDF,SLU,WILLOW,2023-08-16 00:00:00+00:00,2023-08-16 00:00:00+00:00,5.272589,,32346.00390625,802.641273290647,0 days,6.629948457344893,9.0
139,2023.0,CDF,SLU,CATTLE,2023-08-16 00:00:00+00:00,2023-08-16 00:00:00+00:00,0.8171355,,4988.0,328.36028649412,0 days,2.156538149107744,4.0
140,2023.0,CDF,SLU,TOPAZ,2023-08-18 00:00:00+00:00,2023-08-18 00:00:00+00:00,5.66248,,34542.0,744.285463131898,0 days,6.847683715425982,10.0
141,2023.0,CDF,SLU,WINEMAN,2023-08-26 00:00:00+00:00,2023-08-26 00:00:00+00:00,1.682815,,10172.0,386.111235647662,0 days,3.563290124730689,5.0
142,2023.0,CDF,SLU,PANZA,2023-12-16 00:00:00+00:00,2023-12-16 00:00:00+00:00,3.066564,,18742.50390625,907.434434884294,0 days,5.065099642320892,7.0
